Source_Name,AllWISE,Host_RA,Host_DEC,LOFAR_RA_errRad,LOFAR_DEC_errRad,Host_RA_errOpt,Host_DEC_errOpt,W1mag,i
ILTJ104416.22+524037.3,J104416.30+524055.6,161.06802827,52.68209684,0.3232430423275537,0.3841135475294599,0.003370000049471855,0.00559999980032444,16.616405960312573,17.96884303735513
ILTJ104438.12+521539.4,J104438.60+521537.4,161.16096728,52.26041943,0.13993083415660415,0.12382882408157372,0.010099999606609344,0.010719999670982359,17.446859819443404,19.52484587635644
ILTJ104543.54+525016.4,J104544.05+525017.2,161.4336057,52.83806695,1.1230798252682583,1.1263877409476462,0.0038399999029934406,0.005909999832510947,16.967644627614128,18.605558903373517
ILTJ104611.79+522931.2,J104614.79+522906.2,161.56166684,52.48514815,0.9460482820193242,0.4911594403372321,0.0061300001107156285,0.013460000045597552,16.85983243139241,19.486278804981414
ILTJ104650.69+544807.2,J104648.76+544803.8,161.7031807,54.80106515,1.1829042506878755,1.4087196442307723,0.006639999803155661,0.01052999962121248,16.867652452771555,18.499933343548747
ILTJ104651.22+505223.4,J104651.75+505226.4,161.71569815,50.8742223,0.21569186437211801,0.2566698055059862,0.012570000253617764,0.016310000792145733,17.921805379479963,20.232920008117546
ILTJ104706.09+534417.1,J104705.99+534419.1,161.77508366,53.73870644,0.16113409243951746,0.20567953119558788,0.024299999698996544,0.039650000631809235,18.43840596031257,20.80314403222817
ILTJ104713.87+530240.3,J104715.89+530255.2,161.81626628,53.04870571,0.12130534740222182,0.2582512536413137,0.009870000183582306,0.012810000218451023,18.00974439837134,19.870326126264448
ILTJ104747.59+521414.9,J104747.40+521417.7,161.947597,52.23828086,0.4868081870312614,0.13175599464152013,0.005890000145882368,0.006889999844133854,17.834967415358037,19.041188161981204
ILTJ104814.32+555025.4,J104815.93+555035.3,162.06646084,55.84298998,0.7189213177361102,0.5320448653022375,0.00645000021904707,0.009359999559819698,17.629526914114148,19.42051352147314
ILTJ104859.63+505743.8,J104859.81+505743.0,162.24931128,50.96191018,0.09259285092606194,0.08399262232641827,0.0136700002476573,0.01394999958574772,18.216372703393503,20.321721431319872
ILTJ104948.06+520821.8,J104948.56+520830.8,162.45235339,52.14190206,0.2573940412227889,0.3546803607578206,0.0048099998384714135,0.0052999998442828655,16.881957633911256,18.399894191657182
ILTJ104955.05+461923.0,J104955.37+461911.5,162.48073261,46.31984623,0.1092232601824192,0.1520594919026942,0.0049600000493228436,0.0094200000166893,16.582942319734954,18.581665755126828
ILTJ105033.36+553000.7,J105035.33+552958.0,162.64726996,55.49947939,0.9489020944235188,0.5969174442942069,0.008700000122189522,0.015230000019073488,17.954779611579767,19.437966505612568
ILTJ105122.62+473619.6,J105122.54+473619.8,162.84398598,47.60554111,0.06976015975216272,0.029755094608228238,0.007530000060796738,0.010639999993145466,18.262308481983272,19.947301336409296
ILTJ105144.36+515814.4,J105144.38+515815.4,162.93497465,51.97096626,0.06262581592747747,0.2403299985034342,0.007439999841153622,0.007799999788403511,17.278124254645153,18.945012025275314
ILTJ105145.91+530928.2,J105145.57+530921.4,162.93993602,53.15591497,4.529282289214407,5.453549834430683,0.0029299999587237835,0.007439999841153622,18.503762341114108,19.1309019842485
ILTJ105155.09+552329.0,J105147.40+552308.4,162.94749677,55.38566532,0.8333401306221221,0.9482474398951012,0.0029299999587237835,0.007439999841153622,14.582806999630765,15.974632904074992
ILTJ105227.38+524543.6,J105227.66+524538.7,163.11492711,52.76060217,0.22583000058312502,0.20117196273895774,0.0130000002682209,0.013009999878704548,17.891997095836953,20.44767939421736
ILTJ105239.07+463413.9,J105238.67+463419.1,163.16131483,46.57209831,0.7750266964961934,0.9002044155505641,0.009499999694526196,0.011959999799728394,17.688721595176165,20.08129079751269
ILTJ105330.79+535150.6,J105330.58+535152.9,163.37741959,53.86470037,0.028660841251993575,0.08995446541878124,0.0048099998384714135,0.005410000216215849,16.304049915649593,17.701691614240502
ILTJ105418.83+512447.7,J105419.32+512442.7,163.58054744,51.41182722,0.05009240402056746,0.05589045184667444,0.016310000792145733,0.01496999990195036,19.475300320687293,20.657918282977786
ILTJ105426.27+470326.6,J105426.37+470326.9,163.6100042,47.05765113,0.09462916484479457,0.07454901218350271,0.016899999231100082,0.01844000071287155,18.598477731283648,20.384748382743467
ILTJ105444.97+561718.5,J105445.13+561719.0,163.68802928,56.28861491,0.3973930779095535,0.34486261737732665,0.003239999990910292,0.003220000071451068,16.6252471647361,18.060901310172
ILTJ105451.37+553739.8,J105451.62+553736.2,163.71514971,55.62674485,0.5633120254401088,0.7844723683416278,0.008940000087022781,0.002689999993890524,17.78884808170726,19.094430380034023
ILTJ105500.80+520202.2,J105500.33+520200.8,163.75138956,52.03356469,0.028522753913127644,0.054565984119784666,0.003280000062659383,0.009030000306665896,16.653977532943383,17.765688835161114
ILTJ105510.77+461609.0,J105510.63+461619.0,163.79426646,46.27162622,1.4423857296534508,0.9190033679050028,0.013539999723434448,0.02452000044286251,16.823314350851344,19.70155823313008
ILTJ105540.31+463441.3,J105541.11+463444.8,163.92130896,46.57913689,0.5272197385657759,0.5510902718950837,0.005929999984800816,0.006279999855905771,17.266259238610793,19.283420146313194
ILTJ105542.06+490457.2,J105542.15+490451.4,163.92562198,49.08093763,0.8762338581047376,1.0057745541674532,0.032329998910427094,0.056699998676776886,17.37493678700544,19.436296205063343
ILTJ105551.87+543437.5,J105551.75+543441.5,163.96560101,54.57794763,1.4336441661754056,1.0027495087956066,0.005750000011175871,0.007120000198483467,17.619120005927893,19.014069167395288
